DAB	Sân bay Daytona Beach	Daytona Beach International Airport	DAB	Daytona Beach	Daytona Beach	US	Hoa kỳ	United States
DAC	Sân bay Shahjalal	Shahjalal International Airport	DAC	Dhaka	Dhaka	BD	Băng la đét	Bangladesh
DAD	Sân bay Đà Nẵng	Da Nang International Airport	DAD	Đà Nẵng	Da Nang	VN	Việt Nam	Vietnam
DAL	Dallas Love Field	Dallas Love Field	DFW	Dallas	Dallas	US	Hoa kỳ	United States
DAM	Sân bay Damascus	Damascus International Airport	DAM	Damascus	Damascus	SY	Syria	Syria
DAR	Sân bay Julius Nyerere	Julius Nyerere International Airport	DAR	Dar Es Salaam	Dar Es Salaam	TZ	Tanzania	Tanzania
DAT	Sân bay Datong Yungang	Datong Yungang Airport	DAT	Đại Đồng	Datong	CN	Trung Quốc	China
DAX	Sân bay Dazhou	Dazhou Airport	DAX	Đại Tiên	Dazhou	CN	Trung Quốc	China
DAY	Sân bay Dayton	Dayton International Airport	DAY	Dayton	Dayton	US	Hoa kỳ	United States
DBO	Sân bay Dubbo	Dubbo Airport	DBO	Dubbo	Dubbo	AU	Úc	Australia
DBQ	Sân bay Dubuque Regional	Dubuque Regional Airport	DBQ	Dubuque	Dubuque	US	Hoa kỳ	United States
DBV	Sân bay Dubrovnik	Dubrovnik Airport	DBV	Dubrovnik	Dubrovnik	HR	Croatia	Croatia
DCA	Sân bay Ronald Reagan Washington National	Ronald Reagan Washington National Airport	WAS	Washington	Washington	US	Hoa kỳ	United States
DCF	Sân bay Canefield	Canefield Airport	DOM	Dominica	Dominica	DM	Cộng hòa Dominicana	Dominican Republic
DCM	Sân bay Castres-Mazamet	Castres-Mazamet Airport	DCM	Castres	Castres	FR	Pháp	France
DCY	Sân bay Daocheng	Daocheng Airport	DCY	Daocheng	Daocheng	CN	Trung Quốc	China
DDC	Sân bay Dodge City Regional	Dodge City Regional Airport	DDC	Dodge City	Dodge City	US	Hoa kỳ	United States
DDG	Sân bay Dandong Langtou	Dandong Langtou Airport	DDG	Đan Đông	Dandong	CN	Trung Quốc	China
DEC	Sân bay Decatur	Decatur Airport	DEC	Decatur	Decatur	US	Hoa kỳ	United States
DED	Sân bay Dehradun	Dehradun Airport	DED	Dehra Dun	Dehradun	IN	Ấn độ	India
DEL	Sân bay Indira Gandhi	Indira Gandhi International Airport	DEL	Đê-li	Delhi	IN	Ấn độ	India
DEN	Sân bay quốc tế Denver	Denver International Airport	DEN	Denver	Denver	US	Hoa kỳ	United States
DET	Sân bay Coleman A. Young	Coleman A. Young International Airport	DTT	Detroit	Detroit	US	Hoa kỳ	United States
DFW	Sân bay Dallas/Fort Worth	Dallas/Fort Worth International Airport	DFW	Dallas	Dallas	US	Hoa kỳ	United States
DGE	Sân bay Mudgee	Mudgee Airport	DGE	Mudgee	Mudgee	AU	Úc	Australia
DGO	Sân bay General Guadalupe Victoria	General Guadalupe Victoria International Airport	DGO	Durango	Durango	MX	Mê hi cô	MEXICO
DHA	Sân bay Dhahran	Dhahran International Airport	DHA	Dhahran	Dhahran	SA	Ả rập xê út	Saudi Arabia
DHM	Sân bay Gaggal	Gaggal Airport	DHM	Dharamsala	Dharamsala	IN	Ấn độ	India
DHN	Sân bay Dothan Regional	Dothan Regional Airport	DHN	Dothan	Dothan	US	Hoa kỳ	United States
DIB	Sân bay Dibrugarh	Dibrugarh Airport	DIB	Dibrugarh	Dibrugarh	IN	Ấn độ	India
DIE	Sân bay Arrachart	Arrachart Airport	DIE	Antsiranana	Antsiranana	MG	Madagascar	Madagascar
DIG	Sân bay DIQING	DIQING AIRPORT	DIG	Địch Khánh	Diqing	CN	Trung Quốc	China
DIJ	Sân bay Dijon-Bourgogne	Dijon-Bourgogne Airport	DIJ	Dijon	Dijon	FR	Pháp	France
DIK	Sân bay Theodore Roosevelt Regional	Theodore Roosevelt Regional Airport	DIK	Dickinson	Dickinson	US	Hoa kỳ	United States
DIL	Sân bay Presidente Nicolau Lobato	Presidente Nicolau Lobato International Airport	DIL	Dili	Dili	ID	Indonesia	Indonesia
DIN	Sân bay Điện Biên Phủ	Dien Bien Phu Airport	DIN	Điện Biên Phủ	Dien Bien Phu	VN	Việt Nam	Vietnam
DIR	Sân bay Aba Tenna Dejazmach Yilma	Aba Tenna Dejazmach Yilma International Airport	DIR	Dire Dawa	Dire Dawa	ET	E ti ô pia	Ethiopia
DIU	Sân bay Diu	Diu Airport	DIU	Diu In	Diu In	IN	Ấn độ	India
DIY	Sân bay Diyarbakir	Diyarbakır Airport	DIY	Diyarbai	Diyarbai	TR	Thổ nhĩ kỳ	Turkey
DJB	Sân bay Sultan Thaha	Sultan Thaha Airport	DJB	Jambi	Jambi	ID	Indonesia	Indonesia
DJE	Sân bay Zarzis	Zarzis Airport	DJE	Djerba	Djerba	TN	Tuy ni di	Tunisia
DKR	Sân bay Léopold Sédar Senghor	Léopold Sédar Senghor International Airport	DKR	Dakar	Dakar	SN	Senegal	Senegal
DLA	Sân bay Douala	Douala Airport	DLA	Douala	Douala	CM	Cộng hòa Cameroon	United Republic Of Cameroon
DLC	Sân bay Dalian Zhoushuizi	Dalian Zhoushuizi International Airport	DLC	Đại Liên	Dalian	CN	Trung Quốc	China
DLE	Sân bay Dôle-Tavaux	Dôle-Tavaux Airport	DLE	Dole	Dole	FR	Pháp	France
DLG	Sân bay Dillingham	Dillingham Airport	DLG	Dillingham	Dillingham	US	Hoa kỳ	United States
DLH	Sân bay Duluth	Duluth International Airport	DLH	Duluth	Duluth	US	Hoa kỳ	United States
DLI	Sân bay Liên Khương	Lien Khuong Airport	DLI	Đà Lạt	Dalat	VN	Việt Nam	Vietnam
DLM	Sân bay Dalaman	Dalaman Airport	DLM	Dalaman	Dalaman	TR	Thổ nhĩ kỳ	Turkey
DLU	Sân bay DALI	DALI	DLU	Đại Lý	DALI	CN	Trung Quốc	China
DMD	Sân bay Doomadgee Mission	Doomadgee Mission Airport	DMD	Doomadgee	Doomadgee	AU	Úc	Australia
DME	Sân bay Domodedovo	Domodedovo International Airport	MOW	Mát-xờ-cơ-va	Moscow	RU	Nga	Russia
DMK	Sân bay Don Mueang	Don Mueang International Airport	BKK	Băng Cốc	Bangkok	TH	Thái Lan	Thailand
DMM	Sân bay King Fahd	King Fahd International Airport	DMM	Dammam	Dammam	SA	Ả rập xê út	Saudi Arabia
DND	Sân bay Dundee	Dundee Airport	DND	Dundee	Dundee	GB	Anh quốc	United Kingdom
DNH	Sân bay Dunhuang	Dunhuang Airport	DNH	Đôn Hoàng	Dunhuang	CN	Trung Quốc	China
DNK	Sân bay Dnipropetrovsk	Dnipropetrovsk International Airport	DNK	Dnepropetrovsk	Dnepropetrovsk	UA	U-krai-na	Ukraine
DNL	Daniel Field	Daniel Field	AGS	Augusta	Augusta	US	Hoa kỳ	United States
