AAE	Sân bay Rabah Bitat	Rabah Bitat Airport	AAE	Annaba	Annaba	DZ	An giê ri	Algeria
AAL	Sân bay Aalborg	Aalborg Airport	AAL	Aalborg	Aalborg	DK	Ðan Mạch	Denmark
AAN	Sân bay Al Ain	Al Ain International Airport	AAN	Al Ain	Al Ain	AE	Ả rập thống nhất	United Arab Emirates
AAP	Sân bay Andrau Airpark	Andrau Airpark	AAP	Houston	Houston	US	Hoa kỳ	United States
AAQ	Sân bay Anapa	Anapa Airport	AAQ	Anapa	Anapa	RU	Nga	Russia
AAR	Sân bay Aarhus	Aarhus Airport	AAR	Aarhus	Aarhus	DK	Ðan Mạch	Denmark
AAT	Sân bay Altay	Altay Airport	AAT	Altay	Altay	CN	Trung Quốc	China
ABA	Sân bay Abakan	Abakan Airport	ABA	Abakan	Abakan	RU	Nga	Russia
ABD	Sân bay Abadan	Abadan Airport	ABD	Abadan	Abadan	IR	Iran	Iran
ABE	Sân bay Lehigh Valley	Lehigh Valley International Airport	ABE	Allentown	Allentown	US	Hoa kỳ	United States
ABI	Sân bay Abilene Regional	Abilene Regional Airport	ABI	Abilene	Abilene	US	Hoa kỳ	United States
ABJ	Sân bay Port Bouet	Port Bouet Airport	ABJ	Abidjan	Abidjan	CI	Ivory Coast	Ivory Coast
ABL	Sân bay Ambler	Ambler Airport	ABL	Ambler	Ambler	US	Hoa kỳ	United States
ABM	Sân bay Bamaga Injinoo	Bamaga Injinoo Airport	ABM	Bamaga	Bamaga	AU	Úc	Australia
ABQ	Albuquerque International Sunport	Albuquerque International Sunport	ABQ	Albuquerque	Albuquerque	US	Hoa kỳ	United States
ABR	Sân bay Aberdeen Regional	Aberdeen Regional Airport	ABR	Aberdeen	Aberdeen	US	Hoa kỳ	United States
ABS	Sân bay Abu Simbel	Abu Simbel Airport	ABS	Abu Simbel	Abu Simbel	EG	Ai Cập	Egypt
ABT	Sân bay Al-Baha Domestic	Al-Baha Domestic Airport	ABT	Al Baha	Al Baha	SA	Ả rập xê út	Saudi Arabia
ABV	Sân bay Nnamdi Azikiwe	Nnamdi Azikiwe International Airport	ABV	Abuja	Abuja	NG	Ni giê ria	Nigeria
ABX	Sân bay Albury	Albury Airport	ABX	Albury	Albury	AU	Úc	Australia
ABY	Sân bay Southwest Georgia Regional	Southwest Georgia Regional Airport	ABY	Albany	Albany	GA	Gabon	Gabon
ABZ	Sân bay Aberdeen	Aberdeen Airport	ABZ	Aberdeen	Aberdeen	GB	Anh quốc	United Kingdom
ACA	Sân bay General Juan N. Álvarez	General Juan N. Álvarez International Airport	ACA	Acapulco	Acapulco	MX	Mê hi cô	MEXICO
ACC	Sân bay Kotoka	Kotoka International Airport	ACC	Accra	Accra	GH	Ghana	Ghana
ACE	Sân bay Lanzarote	Lanzarote Airport	ACE	Lanzarote	Lanzarote	ES	Tây Ban Nha	Spain
ACH	Sân bay St. Gallen Altenrhein	St. Gallen Altenrhein Airport	ACH	Altenrhein	Altenrhein	CH	Thụy sỹ	Switzerland
ACI	Sân bay Alderney	Alderney Airport	ACI	Alderney	Alderney	GB	Anh quốc	United Kingdom
ACK	Sân bay Nantucket Memorial	Nantucket Memorial Airport	ACK	Nantucket	Nantucket	US	Hoa kỳ	United States
ACT	Sân bay Waco Regional	Waco Regional Airport	ACT	Waco	Waco	US	Hoa kỳ	United States
ACV	Sân bay Arcata-Eureka	Arcata-Eureka Airport	ACV	Eureka	Eureka	US	Hoa kỳ	United States
ACX	Sân bay Xingyi	Xingyi Airport	ACX	Hưng Nghi	Xingyi	CN	Trung Quốc	China
ACY	Sân bay Atlantic City	Atlantic City International Airport	AIY	Atlantic City	Atlantic City	US	Hoa kỳ	United States
ADA	Sân bay Adana Sakirpasa	Adana Şakirpaşa Airport	ADA	Adana	Adana	TR	Thổ nhĩ kỳ	Turkey
ADB	Sân bay Adnan Menderes	Adnan Menderes International Airport	IZM	Izmir	Izmir	TR	Thổ nhĩ kỳ	Turkey
ADD	Sân bay Bole	Bole International Airport	ADD	Addis Ababa	Addis Ababa	ET	E ti ô pia	Ethiopia
ADE	Sân bay Aden	Aden International Airport	ADE	Aden	Aden	YE	Yemen	Yemen
ADJ	Sân bay Marka	Marka International Airport	ADJ	Amman	Amman	JO	Gióc đa ni	Jordan
ADK	Sân bay Adak Island	Adak Island Airport	ADK	Adak Island	Adak Island	US	Hoa kỳ	United States
ADL	Sân bay Adelaide	Adelaide Airport	ADL	Adelaide	Adelaide	AU	Úc	Australia
ADQ	Sân bay Kodiak	Kodiak Airport	ADQ	Kodiak	Kodiak	US	Hoa kỳ	United States
ADS	Sân bay Addison	Addison Airport	ADS	Dallas	Dallas	US	Hoa kỳ	United States
ADZ	Sân bay Gustavo Rojas Pinilla	Gustavo Rojas Pinilla International Airport	ADZ	San Andres	San Andres	CO	Colombia	Colombia
